id,gender,name,birth_date,birth_place,award_year,portion,prize_amount,category,university,university_country
491,male,Gustav Stresemann,1878-05-10,Germany,1926,1/2,3332487,Peace,,
32,male,Jean Baptiste Perrin,1870-09-30,France,1926,1,3332487,Physics,Sorbonne University,France
316,male,Johannes Fibiger,1867-04-23,Denmark,1926,1,3332487,Physiology or Medicine,Copenhagen University,Denmark
183,male,The Svedberg,1884-08-30,Sweden,1926,1,3332487,Chemistry,Uppsala University,Sweden
33,male,Arthur H. Compton,1892-09-10,USA,1927,1/2,3658946,Physics,University of Chicago,USA
34,male,C.T.R. Wilson,1869-02-14,Scotland,1927,1/2,3658946,Physics,University of Cambridge,United Kingdom
492,male,Ferdinand Buisson,1841-12-20,France,1927,1/2,3658946,Peace,,
184,male,Heinrich Wieland,1877-06-04,Germany,1927,1,3658946,Chemistry,Munich University,Germany
600,male,Henri Bergson,1859-10-18,France,1927,1,3658946,Literature,,
317,male,Julius Wagner-Jauregg,1857-03-07,Austria,1927,1,3658946,Physiology or Medicine,Vienna University,Austria
493,male,Ludwig Quidde,1858-03-23,Germany,1927,1/2,3658946,Peace,,
185,male,Adolf Windaus,1876-12-25,Germany,1928,1,4539342,Chemistry,Goettingen University,Germany
318,male,Charles Nicolle,1866-09-21,France,1928,1,4539342,Physiology or Medicine,Institut Pasteur,Tunisia
35,male,Owen Willans Richardson,1879-04-26,United Kingdom,1928,1,4539342,Physics,London University,United Kingdom
601,female,Sigrid Undset,1882-05-20,Denmark,1928,1,4539342,Literature,,
186,male,Arthur Harden,1865-10-12,United Kingdom,1929,1/2,4996952,Chemistry,London University,United Kingdom
319,male,Christiaan Eijkman,1858-08-11,the Netherlands,1929,1/2,4996952,Physiology or Medicine,Utrecht University,the Netherlands
494,male,Frank B. Kellogg,1856-12-22,USA,1929,1,4996952,Peace,,
187,male,Hans von Euler-Chelpin,1873-02-15,Germany,1929,1/2,4996952,Chemistry,Stockholm University,Sweden
36,male,Louis de Broglie,1892-08-15,France,1929,1,4996952,Physics,"Sorbonne University, Institut Henri Poincaré",France
320,male,Sir Frederick Hopkins,1861-06-20,United Kingdom,1929,1/2,4996952,Physiology or Medicine,University of Cambridge,United Kingdom
602,male,Thomas Mann,1875-06-06,Germany,1929,1,4996952,Literature,,
188,male,Hans Fischer,1881-07-27,Germany,1930,1,5158685,Chemistry,Technische Hochschule (Institute of Technology),Germany
321,male,Karl Landsteiner,1868-06-14,Austria,1930,1,5158685,Physiology or Medicine,Rockefeller Institute for Medical Research,USA
495,male,Nathan Söderblom,1866-01-15,Sweden,1930,1,5158685,Peace,,
603,male,Sinclair Lewis,1885-02-07,USA,1930,1,5158685,Literature,,
37,male,Sir Chandrasekhara Venkata Raman,1888-11-07,India,1930,1,5158685,Physics,Calcutta University,India
189,male,Carl Bosch,1874-08-27,Germany,1931,1/2,5333069,Chemistry,University of Heidelberg,Germany
604,male,Erik Axel Karlfeldt,1864-07-20,Sweden,1931,1,5333069,Literature,,
190,male,Friedrich Bergius,1884-10-11,Poland,1931,1/2,5333069,Chemistry,University of Heidelberg,Germany
496,female,Jane Addams,1860-09-06,USA,1931,1/2,5333069,Peace,,
497,male,Nicholas Murray Butler,1862-04-02,USA,1931,1/2,5333069,Peace,Columbia University,USA
322,male,Otto Warburg,1883-10-08,Germany,1931,1,5333069,Physiology or Medicine,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biologie,Germany
324,male,Edgar Adrian,1889-11-30,United Kingdom,1932,1/2,5375024,Physiology or Medicine,University of Cambridge,United Kingdom
191,male,Irving Langmuir,1881-01-31,USA,1932,1,5375024,Chemistry,General Electric Company,USA
605,male,John Galsworthy,1867-08-14,United Kingdom,1932,1,5375024,Literature,,
323,male,Sir Charles Sherrington,1857-11-27,United Kingdom,1932,1/2,5375024,Physiology or Medicine,University of Oxford,United Kingdom
38,male,Werner Heisenberg,1901-12-05,Germany,1932,1,5375024,Physics,Leipzig University,Germany
39,male,Erwin Schrödinger,1887-08-12,Austria,1933,1/2,5511251,Physics,Berlin University,Germany
606,male,Ivan Bunin,1870-10-22,Russia,1933,1,5511251,Literature,,
40,male,Paul A.M. Dirac,1902-08-08,United Kingdom,1933,1/2,5511251,Physics,University of Cambridge,United Kingdom
498,male,Sir Norman Angell,1872-12-26,United Kingdom,1933,1,5511251,Peace,,
325,male,Thomas H. Morgan,1866-09-25,USA,1933,1,5511251,Physiology or Medicine,California Institute of Technology (Caltech),USA
499,male,Arthur Henderson,1863-09-13,Scotland,1934,1,5261333,Peace,,
326,male,George H. Whipple,1878-08-28,USA,1934,1/3,5261333,Physiology or Medicine,University of Rochester,USA
327,male,George R. Minot,1885-12-02,USA,1934,1/3,5261333,Physiology or Medicine,Harvard University,USA
192,male,Harold C. Urey,1893-04-29,USA,1934,1,5261333,Chemistry,Columbia University,USA
607,male,Luigi Pirandello,1867-06-28,Italy,1934,1,5261333,Literature,,
328,male,William P. Murphy,1892-02-06,USA,1934,1/3,5261333,Physiology or Medicine,Harvard University,USA
500,male,Carl von Ossietzky,1889-10-03,Germany,1935,1,5088026,Peace,,
193,male,Frédéric Joliot,1900-03-19,France,1935,1/2,5088026,Chemistry,Institut du Radium,France
329,male,Hans Spemann,1869-06-27,Germany,1935,1,5088026,Physiology or Medicine,University of Freiburg im Breisgau,Germany
194,female,Irène Joliot-Curie,1897-09-12,France,1935,1/2,5088026,Chemistry,Institut du Radium,France
41,male,James Chadwick,1891-10-20,United Kingdom,1935,1,5088026,Physics,Liverpool University,United Kingdom
43,male,Carl D. Anderson,1905-09-03,USA,1936,1/2,5002519,Physics,California Institute of Technology (Caltech),USA
501,male,Carlos Saavedra Lamas,1878-11-01,Argentina,1936,1,5002519,Peace,,
608,male,Eugene O'Neill,1888-10-16,USA,1936,1,5002519,Literature,,
331,male,Otto Loewi,1873-06-03,Germany,1936,1/2,5002519,Physiology or Medicine,Graz University,Austria
195,male,Peter Debye,1884-03-24,the Netherlands,1936,1,5002519,Chemistry,Berlin University,Germany
330,male,Sir Henry Dale,1875-06-09,United Kingdom,1936,1/2,5002519,Physiology or Medicine,National Institute for Medical Research,United Kingdom
42,male,Victor F. Hess,1883-06-24,Austria,1936,1/2,5002519,Physics,Innsbruck University,Austria
332,male,Albert Szent-Györgyi,1893-09-16,Hungary,1937,1,4801680,Physiology or Medicine,Szeged University,Hungary
44,male,Clinton Davisson,1881-10-22,USA,1937,1/2,4801680,Physics,Bell Telephone Laboratories,USA
45,male,George Paget Thomson,1892-05-03,United Kingdom,1937,1/2,4801680,Physics,London University,United Kingdom
196,male,Norman Haworth,1883-03-19,United Kingdom,1937,1/2,4801680,Chemistry,Birmingham University,United Kingdom
197,male,Paul Karrer,1889-04-21,Russia,1937,1/2,4801680,Chemistry,University of Zurich,Switzerland
502,male,"Robert Cecil, Viscount Cecil of Chelwood",1864-09-14,United Kingdom,1937,1,4801680,Peace,,
609,male,Roger Martin du Gard,1881-03-23,France,1937,1,4801680,Literature,,
333,male,Corneille Heymans,1892-03-28,Belgium,1938,1,4625656,Physiology or Medicine,Ghent University,Belgium
46,male,Enrico Fermi,1901-09-29,Italy,1938,1,4625656,Physics,Rome University,Italy
610,female,Pearl Buck,1892-06-26,USA,1938,1,4625656,Literature,,
198,male,Richard Kuhn,1900-12-03,Austria,1938,1,4625656,Chemistry,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung,Germany
199,male,Adolf Butenandt,1903-03-24,Germany,1939,1/2,4304564,Chemistry,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Germany
47,male,Ernest Lawrence,1901-08-08,USA,1939,1,4304564,Physics,University of California,USA
613,male,Frans Eemil Sillanpää,1888-09-16,Finland,1939,1,4304564,Literature,,
334,male,Gerhard Domagk,1895-10-30,Poland,1939,1,4304564,Physiology or Medicine,Munster University,Germany
200,male,Leopold Ruzicka,1887-09-13,Croatia,1939,1/2,4304564,Chemistry,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Switzerland
336,male,Edward A. Doisy,1893-11-13,USA,1943,1/2,2566588,Physiology or Medicine,Saint Louis University,USA
201,male,George de Hevesy,1885-08-01,Hungary,1943,1,2566588,Chemistry,Stockholm University,Sweden
335,male,Henrik Dam,1895-02-21,Denmark,1943,1/2,2566588,Physiology or Medicine,Polytechnic Institute,Denmark
48,male,Otto Stern,1888-02-17,Poland,1943,1,2566588,Physics,Carnegie Institute of Technology,USA
338,male,Herbert S. Gasser,1888-07-05,USA,1944,1/2,2555983,Physiology or Medicine,Rockefeller Institute for Medical Research,USA
49,male,Isidor Isaac Rabi,1898-07-29,Poland,1944,1,2555983,Physics,Columbia University,USA
614,male,Johannes V. Jensen,1873-01-20,Denmark,1944,1,2555983,Literature,,
337,male,Joseph Erlanger,1874-01-05,USA,1944,1/2,2555983,Physiology or Medicine,Washington University,USA
202,male,Otto Hahn,1879-03-08,Germany,1944,1,2555983,Chemistry,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Germany
203,male,Artturi Virtanen,1895-01-15,Finland,1945,1,2545326,Chemistry,University of Helsinki,Finland
505,male,Cordell Hull,1871-10-02,USA,1945,1,2545326,Peace,,
340,male,Ernst B. Chain,1906-06-19,Germany,1945,1/3,2545326,Physiology or Medicine,University of Oxford,United Kingdom
615,female,Gabriela Mistral,1889-04-07,Chile,1945,1,2545326,Literature,,
339,male,Sir Alexander Fleming,1881-08-06,Scotland,1945,1/3,2545326,Physiology or Medicine,London University,United Kingdom
341,male,Sir Howard Florey,1898-09-24,Australia,1945,1/3,2545326,Physiology or Medicine,University of Oxford,United Kingdom
50,male,Wolfgang Pauli,1900-04-25,Austria,1945,1,2545326,Physics,Princeton University,USA
506,female,Emily Greene Balch,1867-01-08,USA,1946,1/2,2549333,Peace,,
617,male,Hermann Hesse,1877-07-02,Germany,1946,1,2549333,Literature,,
342,male,Hermann J. Muller,1890-12-21,USA,1946,1,2549333,Physiology or Medicine,Indiana University,USA
204,male,James B. Sumner,1887-11-19,USA,1946,1/2,2549333,Chemistry,Cornell University,USA
205,male,John H. Northrop,1891-07-05,USA,1946,1/4,2549333,Chemistry,Rockefeller Institute for Medical Research,USA
507,male,John R. Mott,1865-05-25,USA,1946,1/2,2549333,Peace,,
51,male,Percy W. Bridgman,1882-04-21,USA,1946,1,2549333,Physics,Harvard University,USA
206,male,Wendell M. Stanley,1904-08-16,USA,1946,1/4,2549333,Chemistry,Rockefeller Institute for Medical Research,USA
618,male,André Gide,1869-11-22,France,1947,1,2967378,Literature,,
345,male,Bernardo Houssay,1887-04-10,Argentina,1947,1/2,2967378,Physiology or Medicine,Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Argentina
343,male,Carl Cori,1896-12-05,Czech Republic,1947,1/4,2967378,Physiology or Medicine,Washington University,USA
52,male,Edward V. Appleton,1892-09-06,United Kingdom,1947,1,2967378,Physics,Department of Scientific and Industrial Research,United Kingdom
344,female,Gerty Cori,1896-08-15,Czech Republic,1947,1/4,2967378,Physiology or Medicine,Washington University,USA
207,male,Sir Robert Robinson,1886-09-13,United Kingdom,1947,1,2967378,Chemistry,University of Oxford,United Kingdom
208,male,Arne Tiselius,1902-08-10,Sweden,1948,1,3112313,Chemistry,Uppsala University,Sweden
53,male,Patrick M.S. Blackett,1897-11-18,United Kingdom,1948,1,3112313,Physics,Victoria University,United Kingdom
346,male,Paul Müller,1899-01-12,Switzerland,1948,1,3112313,Physiology or Medicine,Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.),Switzerland
619,male,T.S. Eliot,1888-09-26,USA,1948,1,3112313,Literature,,
348,male,Egas Moniz,1874-11-29,Portugal,1949,1/2,2983576,Physiology or Medicine,University of Lisbon,Portugal
54,male,Hideki Yukawa,1907-01-23,Japan,1949,1,2983576,Physics,Kyoto Imperial University,Japan
510,male,Lord Boyd Orr,1880-09-23,Scotland,1949,1,2983576,Peace,,
347,male,Walter Hess,1881-03-17,Switzerland,1949,1/2,2983576,Physiology or Medicine,University of Zurich,Switzerland
209,male,William F. Giauque,1895-05-12,Canada,1949,1,2983576,Chemistry,University of California,USA
620,male,William Faulkner,1897-09-25,USA,1949,1,2983576,Literature,,
621,male,Bertrand Russell,1872-05-18,United Kingdom,1950,1,3105508,Literature,,
55,male,Cecil Powell,1903-12-05,United Kingdom,1950,1,3105508,Physics,Bristol University,United Kingdom
349,male,Edward C. Kendall,1886-03-08,USA,1950,1/3,3105508,Physiology or Medicine,Mayo Clinic,USA
211,male,Kurt Alder,1902-07-10,Poland,1950,1/2,3105508,Chemistry,Cologne University,Germany
210,male,Otto Diels,1876-01-23,Germany,1950,1/2,3105508,Chemistry,Kiel University,Germany
351,male,Philip S. Hench,1896-02-28,USA,1950,1/3,3105508,Physiology or Medicine,Mayo Clinic,USA
511,male,Ralph Bunche,1904-08-07,USA,1950,1,3105508,Peace,Harvard University,USA
350,male,Tadeus Reichstein,1897-07-20,Poland,1950,1/3,3105508,Physiology or Medicine,Basel University,Switzerland
212,male,Edwin M. McMillan,1907-09-18,USA,1951,1/2,2734798,Chemistry,University of California,USA
57,male,Ernest T.S. Walton,1903-10-06,Ireland,1951,1/2,2734798,Physics,Trinity College,Ireland
213,male,Glenn T. Seaborg,1912-04-19,USA,1951,1/2,2734798,Chemistry,University of California,USA
56,male,John Cockcroft,1897-05-27,United Kingdom,1951,1/2,2734798,Physics,Atomic Energy Research Establishment,United Kingdom
512,male,Léon Jouhaux,1879-07-01,France,1951,1,2734798,Peace,,
352,male,Max Theiler,1899-01-30,South Africa,1951,1,2734798,Physiology or Medicine,"Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation",USA
622,male,Pär Lagerkvist,1891-05-23,Sweden,1951,1,2734798,Literature,,
513,male,Albert Schweitzer,1875-01-14,France,1952,1,2592831,Peace,,
214,male,Archer J.P. Martin,1910-03-01,United Kingdom,1952,1/2,2592831,Chemistry,National Institute for Medical Research,United Kingdom
59,male,E. M. Purcell,1912-08-30,USA,1952,1/2,2592831,Physics,Harvard University,USA
58,male,Felix Bloch,1905-10-23,Switzerland,1952,1/2,2592831,Physics,Stanford University,USA
623,male,François Mauriac,1885-10-11,France,1952,1,2592831,Literature,,
215,male,Richard L.M. Synge,1914-10-28,United Kingdom,1952,1/2,2592831,Chemistry,Rowett Research Institute,United Kingdom
353,male,Selman A. Waksman,1888-07-22,Ukraine,1952,1,2592831,Physiology or Medicine,Rutgers University,USA
60,male,Frits Zernike,1888-07-16,the Netherlands,1953,1,2614331,Physics,Groningen University,the Netherlands
355,male,Fritz Lipmann,1899-06-12,Russia,1953,1/2,2614331,Physiology or Medicine,Harvard Medical School,USA
514,male,George C. Marshall,1880-12-31,USA,1953,1,2614331,Peace,,
354,male,Hans Krebs,1900-08-25,Germany,1953,1/2,2614331,Physiology or Medicine,Sheffield University,United Kingdom
216,male,Hermann Staudinger,1881-03-23,Germany,1953,1,2614331,Chemistry,University of Freiburg,Germany
624,male,Winston Churchill,1874-11-30,United Kingdom,1953,1,2614331,Literature,,
625,male,Ernest Hemingway,1899-07-21,USA,1954,1,2688094,Literature,,
358,male,Frederick C. Robbins,1916-08-25,USA,1954,1/3,2688094,Physiology or Medicine,Western Reserve University,USA
